"Candidate" "Thermometer"
"Trump" 78
"Trump" 5
"Trump" 2
"Trump" 65
"Trump" 0
"Trump" 0
"Trump" 93
"Trump" 0
"Trump" 2
"Trump" 21
"Trump" 74
"Trump" 0
"Trump" 0
"Trump" 2
"Trump" 0
"Trump" 1
"Trump" 99
"Trump" 100
"Trump" 41
"Trump" 55
"Trump" 100
"Trump" 20
"Trump" 4
"Trump" 3
"Trump" 26
"Trump" 71
"Trump" 84
"Trump" 6
"Trump" 0
"Trump" 80
"Trump" 1
"Trump" 31
"Trump" 1
"Trump" 18
"Trump" 72
"Trump" 1
"Trump" 100
"Trump" 5
"Trump" 75
"Trump" 0
"Trump" 72
"Trump" 0
"Trump" 70
"Trump" 40
"Trump" 94
"Trump" 28
"Trump" 92
"Trump" 41
"Trump" 90
"Trump" 0
"Trump" 45
"Trump" 0
"Trump" 6
"Trump" 67
"Trump" 2
"Trump" 0
"Trump" 12
"Trump" 0
"Trump" 1
"Trump" 84
"Trump" 93
"Trump" 9
"Trump" 5
"Trump" 3
"Trump" 3
"Trump" 0
"Trump" 0
"Trump" 90
"Trump" 5
"Trump" 95
"Trump" 3
"Trump" 51
"Trump" 48
"Trump" 71
"Trump" 40
"Trump" 94
"Trump" 66
"Trump" 17
"Trump" 9
"Trump" 62
"Trump" 100
"Trump" 1
"Trump" 0
"Trump" 50
"Trump" 98
"Trump" 0
"Trump" 2
"Trump" 0
"Trump" 60
"Trump" 4
"Trump" 3
"Trump" 39
"Trump" 51
"Trump" 2
"Trump" 0
"Trump" 0
"Trump" 3
"Trump" 90
"Trump" 3
"Trump" 0
"Trump" 1
"Trump" 14
"Trump" 1
"Trump" 36
"Trump" 50
"Trump" 21
"Trump" 7
"Trump" 0
"Trump" 75
"Trump" 95
"Trump" 2
"Trump" 0
"Trump" 1
"Trump" 3
"Trump" 94
"Trump" 66
"Trump" 99
"Trump" 98
"Trump" 98
"Trump" 0
"Trump" 48
"Trump" 7
"Trump" 1
"Trump" 0
"Trump" 95
"Trump" 17
"Trump" 3
"Trump" 62
"Trump" 5
"Trump" 41
"Trump" 63
"Trump" 0
"Trump" 49
"Trump" 72
"Trump" 72
"Trump" 100
"Trump" 1
"Trump" 56
"Trump" 26
"Trump" 31
"Trump" 6
"Trump" 1
"Trump" 10
"Trump" 38
"Trump" 3
"Trump" 3
"Trump" 7
"Trump" 81
"Trump" 100
"Trump" 13
"Trump" 80
"Trump" 0
"Trump" 55
"Trump" 3
"Trump" 61
"Trump" 6
"Trump" 20
"Trump" 100
"Trump" 2
"Trump" 88
"Trump" 0
"Trump" 0
"Trump" 0
"Trump" 17
"Trump" 41
"Trump" 25
"Trump" 91
"Trump" 97
"Trump" 2
"Trump" 2
"Trump" 100
"Trump" 1
"Trump" 4
"Trump" 3
"Trump" 72
"Trump" 57
"Trump" 90
"Trump" 1
"Trump" 60
"Trump" 59
"Trump" 1
"Trump" 89
"Trump" 0
"Trump" 1
"Trump" 0
"Trump" 0
"Trump" 53
"Trump" 32
"Trump" 2
"Trump" 100
"Trump" 35
"Trump" 10
"Trump" 1
"Trump" 99
"Trump" 3
"Trump" 100
"Trump" 0
"Trump" 998
"Trump" 59
"Trump" 2
"Trump" 0
"Trump" 36
"Trump" 96
"Trump" 51
"Trump" 0
"Trump" 17
"Trump" 40
"Trump" 74
"Trump" 41
"Trump" 0
"Trump" 91
"Trump" 28
"Trump" 56
"Trump" 0
"Trump" 100
"Trump" 40
"Trump" 72
"Trump" 84
"Trump" 17
"Trump" 10
"Trump" 12
"Trump" 3
"Trump" 90
"Trump" 91
"Trump" 100
"Trump" 0
"Trump" 7
"Trump" 75
"Trump" 62
"Trump" 0
"Trump" 7
"Trump" 51
"Trump" 6
"Trump" 76
"Trump" 4
"Trump" 97
"Trump" 66
"Trump" 4
"Trump" 45
"Trump" 11
"Trump" 16
"Trump" 21
"Trump" 7
"Trump" 99
"Trump" 1
"Trump" 0
"Trump" 0
"Trump" 80
"Trump" 85
"Trump" 13
"Trump" 50
"Trump" 85
"Trump" 50
"Trump" 91
"Trump" 0
"Trump" 1
"Trump" 6
"Trump" 0
"Trump" 2
"Trump" 60
"Trump" 0
"Trump" 0
"Trump" 27
"Trump" 58
"Trump" 64
"Trump" 0
"Trump" 66
"Trump" 6
"Trump" 5
"Trump" 5
"Trump" 14
"Trump" 64
"Trump" 100
"Trump" 4
"Trump" 6
"Trump" 2
"Trump" 9
"Trump" 56
"Trump" 90
"Trump" 1
"Trump" 42
"Trump" 6
"Trump" 68
"Trump" 23
"Trump" 0
"Trump" 5
"Trump" 3
"Trump" 100
"Trump" 75
"Trump" 1
"Trump" 30
"Trump" 47
"Trump" 34
"Trump" 69
"Trump" 55
"Trump" 0
"Trump" 0
"Trump" 31
"Trump" 48
"Trump" 50
"Trump" 0
"Trump" 88
"Trump" 0
"Trump" 14
"Trump" 41
"Trump" 59
"Trump" 1
"Trump" 8
"Trump" 90
"Trump" 16
"Trump" 41
"Trump" 13
"Trump" 0
"Trump" 0
"Trump" 36
"Trump" 80
"Trump" 0
"Trump" 3
"Trump" 5
"Trump" 75
"Trump" 71
"Trump" 1
"Trump" 5
"Trump" 21
"Trump" 1
"Trump" 1
"Trump" 50
"Trump" 1
"Trump" 91
"Trump" 35
"Trump" 3
"Trump" 18
"Clinton" 76
"Clinton" 52
"Clinton" 1
"Clinton" 69
"Clinton" 1
"Clinton" 1
"Clinton" 60
"Clinton" 0
"Clinton" 3
"Clinton" 87
"Clinton" 6
"Clinton" 10
"Clinton" 49
"Clinton" 3
"Clinton" 1
"Clinton" 0
"Clinton" 79
"Clinton" 79
"Clinton" 0
"Clinton" 87
"Clinton" 94
"Clinton" 2
"Clinton" 65
"Clinton" 68
"Clinton" 53
"Clinton" 50
"Clinton" 0
"Clinton" 41
"Clinton" 70
"Clinton" 85
"Clinton" 92
"Clinton" 21
"Clinton" 1
"Clinton" 0
"Clinton" 77
"Clinton" 93
"Clinton" 100
"Clinton" 52
"Clinton" 7
"Clinton" 9
"Clinton" 94
"Clinton" 94
"Clinton" 10
"Clinton" 99
"Clinton" 100
"Clinton" 0
"Clinton" 98
"Clinton" 3
"Clinton" 83
"Clinton" 1
"Clinton" 98
"Clinton" 75
"Clinton" 10
"Clinton" 99
"Clinton" 3
"Clinton" 31
"Clinton" 1
"Clinton" 99
"Clinton" 2
"Clinton" 1
"Clinton" 0
"Clinton" 16
"Clinton" 78
"Clinton" 10
"Clinton" 100
"Clinton" 61
"Clinton" 54
"Clinton" 95
"Clinton" 1
"Clinton" 0
"Clinton" 2
"Clinton" 93
"Clinton" 78
"Clinton" 4
"Clinton" 61
"Clinton" 1
"Clinton" 95
"Clinton" 0
"Clinton" 0
"Clinton" 7
"Clinton" 1
"Clinton" 56
"Clinton" 100
"Clinton" 47
"Clinton" 59
"Clinton" 2
"Clinton" 12
"Clinton" 50
"Clinton" 0
"Clinton" 0
"Clinton" 60
"Clinton" 90
"Clinton" 0
"Clinton" 75
"Clinton" 60
"Clinton" 77
"Clinton" 5
"Clinton" 5
"Clinton" 100
"Clinton" 0
"Clinton" 87
"Clinton" 0
"Clinton" 100
"Clinton" 100
"Clinton" 20
"Clinton" 76
"Clinton" 10
"Clinton" 100
"Clinton" 100
"Clinton" 3
"Clinton" 3
"Clinton" 95
"Clinton" 1
"Clinton" 4
